Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,85.25,90.0,52.94,66.67,92.51
Random Forest,81.97,87.5,41.18,56.0,94.39
XGBoost,81.97,80.0,47.06,59.26,91.18
SVM,85.25,90.0,52.94,66.67,90.24
RF (tuned),80.33,85.71,35.29,50.0,94.79
XGB (tuned),81.97,87.5,41.18,56.0,92.71
RF + SMOTE,86.89,84.62,64.71,73.33,94.12
XGB + SMOTE,85.25,78.57,64.71,70.97,92.45
MLP (baseline),83.61,88.89,47.06,61.54,91.84
MLP (tuned),81.97,62.5,88.24,73.17,90.91
MLP + SMOTE,83.61,65.22,88.24,75.0,90.91
